MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
us610,lg,x power,2016,9,2016.666667,240,5.3,us610
n9132,zte,avid plus,2016,1,2016,110,5,NA
mega,fero,canvas mega 2 q426,2016,8,2016.583333,100,6,mega
ixion xl 5,blu,energy xl,2016,7,2016.5,NA,6,NA
touch xl2,blu,studio xl2,2016,11,2016.833333,NA,6,NA
km-e100,acer,betouch e100,2009,10,2009.75,180,3.2,also known as acer c1
gt-s6812,samsung,galaxy fame s6810,2013,3,2013.166667,120,3.5,available as samsung galaxy fame s6810p with nfc; samsung galaxy fame duos s6812 with dual-sim card slots
a54,videocon,ninja a54,2013,1,2013,70,3.5,a54
u8666e,huawei,ascend y201 pro,2012,10,2012.75,110,3.5,NA
d2243,sony,xperia e3,2014,9,2014.666667,170,4.5,d2243
h881c,huawei,ascend plus,2014,4,2014.25,110,4,h881c
s307,philips,s308,2014,5,2014.333333,130,4,
advance 5.0 hd,blu,studio 5.5 hd,2016,3,2016.166667,NA,5.5,NA
s560,lenovo,s560,2012,NA,NA,180,4,s560
aq4502,micromax,canvas a1 aq4502,2015,6,2015.416667,90,4.5,aq4502
desire l,htc,desire l,2013,4,2013.25,NA,4.3,desire l
st-551,samsung,galaxy 551,2010,NA,NA,90,3.2,"also known as samsung i5510, samsung callisto"
gsmart mika m2,gigabyte,gsmart mika m2,2014,6,2014.416667,190,5,gsmart mika m2
p7-l11,huawei,ascend p7 mini,2014,5,2014.333333,180,4.5,NA
7520,vivo,y37,2015,8,2015.583333,NA,5.5,NA
h731,lg,g4c,2015,6,2015.416667,160,5,also known as lg g4c h525n
open,zte,open l,2015,4,2015.25,NA,5,open
h915,lg,v20,2016,10,2016.75,640,5.7,"versions: h910 (at&t); h918 (t-mobile); ls997 (sprint); us996 (u.s. cellular); vs995 (verizon); h990ds (uae, indonesia); h990n (hong kong)
also known as lg v20 dual h990ds; h990n with dual-sim card slots"
xt615,motorola,moto xt615,2012,3,2012.166667,120,4,xt615
gsmart roma r2,gigabyte,gsmart roma r2,2013,10,2013.75,140,4,gsmart roma r2
a95,celkon,a95,2012,NA,NA,70,3.2,a95
sgh-i757m,samsung,galaxy trend ii duos s7572,2013,5,2013.333333,170,4,"also known as samsung galaxy trend ii s7570, samsung gt-s7572, gt-s7570"
sc-ul10,huawei,ascend gx1,2014,12,2014.916667,200,6,also known as huawei sc-cl00
t83,telstra,tab 2 a7-30,2015,4,2015.25,110,7,t83
max2,leeco,le max 2,2016,5,2016.333333,350,5.7,NA
ms659,lg,optimus f3,2013,6,2013.416667,100,4,ms659
gt-i5801,samsung,i5801 galaxy apollo,2010,7,2010.5,140,3.2,"for orange
also known as samsung galaxy naos, samsung galaxy leo"
sm-g550t2,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
sm-g3858,samsung,galaxy beam2,2014,7,2014.5,250,4.66,available as samsung galaxy beam2 g3858 for china
sch-i545pp,samsung,galaxy s4 cdma,2013,5,2013.333333,440,5,samsung sch-i545 for verizon
u8650,huawei,u8650 sonic,2011,7,2011.5,70,3.5,u8650
up ultra,sony,xperia xa ultra,2016,7,2016.5,380,6,"also known as sony xperia xa ultra dual (f3212, f3216) with dual-sim card slots"
d213,lg,l50,2014,7,2014.5,100,4,d213
l82vl,lg,stylus 2 plus,2016,7,2016.5,360,5.7,"versions: k535d (india), k535n (hk, taiwan), lg stylo 2 plus ms550 (metro pcs); lg stylo 2 plus k550 (t-mobile), k530f (south america)
k530f, k535d and k535n models has no fingerprint scanner"
primo z,acer,liquid jade primo,2016,4,2016.25,220,5.5,NA
q338,micromax,bolt q338,2015,9,2015.666667,NA,5,q338
y221-u12,huawei,ascend y221,2014,12,2014.916667,130,3.5,NA
w536,philips,w536,2012,11,2012.833333,NA,4,w536
g6-l33,huawei,ascend g628,2015,2,2015.083333,140,5,NA
p66,panasonic,p66,2016,2,2016.083333,110,5,p66
sm-s550,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
d221,lg,l50,2014,7,2014.5,100,4,also known as lg l50 d213n
sgh-t699,samsung,galaxy s relay 4g t699,2012,9,2012.666667,150,4,"for t-mobile
also known as samsung galaxy s blaze q"
5952,asus,zenfone 5 a500cg,2014,4,2014.25,130,5,NA
s806,lenovo,s860,2014,5,2014.333333,250,5.3,NA
t311,samsung,galaxy tab 3 8.0,2013,7,2013.5,270,8,"tablet with support for gsm voice communication, sms, and mms (t311/t315)
tablet with no support for gsm voice communication, sms, and mms (t310)
also known as:
samsung galaxy tab 3 8.0 wi-fi
samsung galaxy tab 3 8.0 3g
samsung galaxy tab 3 8.0 lte"
diamond,multilaser,hd7,2010,10,2010.75,120,4.3,diamond
n9100,samsung,galaxy note 4 duos,2014,10,2014.75,500,5.7,also known as samsung galaxy note4 (dual sim) n9100
vivo,mobicel,v5 lite,2017,2,2017.083333,NA,5.5,vivo
u8652,huawei,fusion u8652,2012,3,2012.166667,80,3.5,u8652
gt-s5369,samsung,galaxy y tv s5367,2011,NA,NA,180,3.14,NA
x710a,htc,raider 4g,2011,10,2011.75,230,4.5,"also known as htc rider, htc holiday, htc raider 4g lte"
advance 4.0 l,blu,advance 4.0 l3,2017,1,2017,NA,4,advance 4.0 l
sm-g3508,samsung,galaxy tab a 8.0,2015,5,2015.333333,210,8,versions: t350 (wi-fi); t355 (3g/lte)
iris x1 grand,lava,iris x1 grand,2015,1,2015,110,5,iris x1 grand
a9+,karbonn,galaxy a9 (2016),2016,1,2016,460,6,a9+
gt-i9063,samsung,galaxy s5 lte-a g906s,2014,7,2014.5,550,5.1,"for korea
also known as samsung galaxy s5 lte-a g906s"
a092,micromax,a092 unite,2014,NA,NA,70,4,a092
a6020a41,lenovo,vibe k5 plus,2016,4,2016.25,140,5,"also known as lenovo a6020a46, lenovo lemon 3"
n9518,zte,blade s6 plus,2015,4,2015.25,280,5.5,also known as zte blade s6+
sgh-i437,samsung,galaxy express i437,2012,11,2012.833333,160,4.5,for at&t
a60+,lenovo,vibe k5 plus,2016,4,2016.25,140,5,a60+
a2207,lenovo,ideatab a2107,2013,1,2013,150,7,NA
d-321,micromax,bolt d321,2015,2,2015.083333,NA,5,NA
y330-u05,huawei,ascend y330,2014,3,2014.166667,70,4,NA
7 g2,hp,7 plus,2014,5,2014.333333,70,7,"tablet with no support for gsm voice communication, sms, and mms"
original one,htc,one a9s,2016,11,2016.833333,350,5,NA
intouch 3,zte,blade iii pro,2013,5,2013.333333,150,4,NA
note 2,infinix,mi note 2,2016,11,2016.833333,500,5.7,note 2
xt1524,motorola,moto e (2nd gen),2015,2,2015.083333,130,4.5,xt1524
lu3100,lg,optimus lte lu6200,2012,1,2012,140,4.5,for south korea
sph-m840,samsung,galaxy prevail 2,2013,7,2013.5,140,4,"versions:
samsung galaxy prevail 2 for boost mobile
samsung galaxy ring m840 for virgin mobile"
sgh-t899m,samsung,ativ s i8750,2012,12,2012.916667,220,4.8,NA
edison,bq,atrix 2 mb865,2011,10,2011.75,230,4.3,edison
d2-f,huawei,ascend d2,2013,3,2013.166667,310,5,NA
sch-r970c,samsung,galaxy s4 cdma,2013,5,2013.333333,440,5,samsung sch-i545 for verizon
noir s1,qmobile,noir s1,2015,7,2015.5,100,5,noir s1
a688,lenovo,a680,2014,5,2014.333333,110,5,NA
sm-z130,samsung,z1,2015,1,2015,80,4,"also known as samsung z1 z130h, z130h/ds"
z963vl,zte,imperial ii,2015,1,2015,NA,5,for u.s. cellular
a328t,lenovo,a328,2014,NA,NA,90,4.5,NA
iris x1+,lava,iris x1 mini,2015,1,2015,NA,4,iris x1+
c230,phicomm,xperia c,2013,7,2013.5,220,5,c230
s910,starway,revolution,2011,5,2011.333333,80,4.3,s910
7576u,coolpad,shine,2015,10,2015.75,200,5.5,NA
w3568,philips,w3568,2013,10,2013.75,NA,4,w3568
flair z1,lava,flair z1,2015,7,2015.5,NA,5,flair z1
a250,micromax,canvas turbo mini,2014,1,2014,170,4.7,NA
studio selfie 2,blu,studio selfie 2,2016,5,2016.333333,NA,5,studio selfie 2
v12,lg,v10,2015,10,2015.75,400,5.7,"versions: h960a (europe); h900 (at&t), h901 (t-mobile), vs990 (verizon)"
k450,cricket,x power,2016,9,2016.666667,240,5.3,k450
rm-889,nokia,lumia 510,2012,11,2012.833333,110,4,NA
bolt q381,micromax,bolt q381,2016,7,2016.5,NA,5,bolt q381
dash 5.0,blu,dash 5.0,2013,9,2013.666667,100,5,dash 5.0
aria,evolio,aria,2010,6,2010.416667,150,3.2,aria
u8818,huawei,ascend g300,2012,5,2012.333333,130,4,NA
a5z,oppo,a57,2016,12,2016.916667,260,5.2,NA
eluga mark,panasonic,eluga mark,2015,12,2015.916667,200,5.5,eluga mark
i221,huawei,ascend y221,2014,12,2014.916667,130,3.5,NA
studio 5.0 ce,blu,studio 5.0 ce,2014,8,2014.583333,NA,5,studio 5.0 ce
hd new,htc,desire hd,2010,10,2010.75,150,4.3,previously rumored as htc ace
xt1019,motorola,moto e3,2016,9,2016.666667,120,5,"also known as motorola moto e (3rd gen.), motorola moto e (3rd gen)"
w410a,blu,win jr lte,2015,4,2015.25,NA,4.5,NA
v960,zte,skate acqua,2012,NA,NA,NA,4,NA
p706,lenovo,a706,2013,NA,NA,150,4.5,NA
gt-i8268,samsung,galaxy core i8260,2013,6,2013.416667,160,4.3,available as samsung galaxy core i8262 duos with dual-sim card slots
studio 7.0,blu,studio 7.0 ii,2015,8,2015.583333,NA,7,studio 7.0
tm785ch,lg,apex,2010,11,2010.833333,NA,3.2,for u.s. cellular
s337,philips,s337,2015,11,2015.833333,NA,5,s337
g610-u30,huawei,g610s,2013,8,2013.583333,150,5,NA
xt875,verizon,droid bionic xt875,2011,9,2011.666667,210,4.3,xt875
u8850,huawei,u8850 vision,2011,NA,NA,80,3.7,u8850
838,hike,tab 2 a7-30,2015,4,2015.25,110,7,838
a316,lenovo,a316i,2014,4,2014.25,50,4,a316
lt900,xolo,lt900,2013,10,2013.75,190,4.3,lt900
blade apex 3,zte,blade apex 3,2015,6,2015.416667,110,4.5,blade apex 3
gt-b5510,samsung,galaxy 551,2010,NA,NA,90,3.2,"also known as samsung i5510, samsung callisto"
life view tab,blu,life view tab,2014,1,2014,360,8,life view tab
v9c,zte,light tab v9c,2011,12,2011.916667,NA,7,v9c
v793,zte,kis iii v790,2012,11,2012.833333,100,3.5,NA
ls755,sprint,x power,2016,9,2016.666667,240,5.3,ls755
y360-u93,huawei,y360,2015,6,2015.416667,90,4,also known as huawei y3
rm-1039,nokia,lumia 735,2014,9,2014.666667,220,4.7,also known as nokia lumia 735 lte
a1-07,micromax,canvas fire 4 a107,2015,3,2015.166667,100,4.5,NA
gt-s5620,samsung,galaxy s duos s7562,2012,9,2012.666667,110,4,NA
blade l3 plus,zte,blade l3 plus,2015,4,2015.25,100,5,blade l3 plus
h636,lg,g4 stylus,2015,5,2015.333333,250,5.7,versions: h631 (t-mobile); ms631 (metro pcs); h635 (emea); h540 (uae); h630d (india); h542 (mexico)
l33l,lg,spirit,2015,3,2015.166667,120,4.7,available as lg spirit 4g lte h440n (3g/lte); lg spirit h420 (3g only); lg spirit dual sim with dual-sim card slots; lg escape 2 h445 (at&t)
dash m,blu,dash m2,2016,4,2016.25,NA,5,dash m
x1000,xolo,x1000,2013,3,2013.166667,170,4.7,x1000
p690f,lg,optimus net,2011,7,2011.5,80,3.2,"also known as lg optimus net p699, lg optimus link p690"
h7500+,samsung,galaxy ace plus s7500,2012,2,2012.083333,120,3.65,NA
r2010,oppo,r2001 yoyo,2014,5,2014.333333,200,4.7,NA
n5209,oppo,n3,2015,1,2015,550,5.5,NA
738 3g,htc,desire 728 dual sim,2015,11,2015.833333,240,5.5,available as htc desire 728g dual sim with 1.5 gb ram and no lte
r815,oppo,r815t clover,2013,4,2013.25,100,4.3,r815
be x,ulefone,vibe k4 note,2016,1,2016,190,5.5,be x
wv8-l,sony,xperia l,2013,5,2013.333333,130,4.3,"also known as sony xperia l c2105, sony xperia l c2104"
x1st,motorola,moto x play dual sim,2015,8,2015.583333,320,5.5,NA
x5max v,vivo,x5max+,2015,3,2015.166667,430,5.5,NA
gravity 6,maxwest,gravity 6,2014,3,2014.166667,NA,6,gravity 6
sm-n900r4,samsung,galaxy s5 (usa),2014,4,2014.25,480,5.1,versions: g900v (verizon); g900r4 (us cellular); g900p (sprint)
hn3-u00,huawei,honor 3c 4g,2014,6,2014.416667,200,5,also known as huawei honor 3c lte
e353,micromax,canvas mega e353,2015,11,2015.833333,NA,5.5,e353
z90-3,lenovo,vibe shot,2015,6,2015.416667,300,5,"also known as lenovo z90-7, lenovo vibe max"
blade a511,zte,blade v7 lite,2016,2,2016.083333,120,5,NA
gt-i9235,samsung,i9230 galaxy golden,2013,11,2013.833333,590,3.7,NA
kinder 7,samsung,galaxy on7 (2016),2016,10,2016.75,260,5.5,NA
grand s lite,zte,grand s3,2015,3,2015.166667,430,5.5,NA
winwin,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
studio c,blu,studio c hd,2016,1,2016,NA,5,studio c
discovery 2+,blu,life play x,2014,1,2014,200,4.7,NA
a26,cross,a269i,2013,10,2013.75,70,3.5,a26
studio c hd,blu,studio c hd,2016,1,2016,NA,5,studio c hd
ls-5008,zte,blade l2,2014,5,2014.333333,130,5,NA
pmp7380d3g duo,samsung,galaxy s duos s7562,2012,9,2012.666667,110,4,NA
u8836d,huawei,ascend g500,2012,11,2012.833333,200,4.3,u8836d
a72,lava,a72,2016,4,2016.25,NA,5,a72
w125,xolo,q800 x-edition,2013,2,2013.083333,100,4.5,NA
gsmart akta a4,gigabyte,gsmart akta a4,2014,11,2014.833333,NA,5,gsmart akta a4
life one m,blu,life one m,2014,1,2014,140,5,life one m
lu6800,lg,optimus big lu6800,2011,4,2011.25,210,4.3,lu6800
a110,micromax,a110 canvas 2,2012,11,2012.833333,160,5,NA
y220-u10,huawei,ascend y220,2014,3,2014.166667,60,3.5,NA
101+,meeg,q1010,2014,2,2014.083333,140,5,101+
uno,myphone,xperia m ultra,2015,NA,NA,NA,6,uno
g735-l23,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
5890,lenovo,s890,2013,1,2013,230,5,NA
q340,micromax,canvas selfie 2 q340,2015,8,2015.583333,NA,5,q340
k32c36,lenovo,vibe k5 plus,2016,4,2016.25,140,5,"also known as lenovo a6020a46, lenovo lemon 3"
205sh,sharp,aquos crystal 2,2015,7,2015.5,NA,5.2,NA
xt830c,motorola,moto e3,2016,9,2016.666667,120,5,"also known as motorola moto e (3rd gen.), motorola moto e (3rd gen)"
hd1,blu,r1 hd,2016,6,2016.416667,NA,5,NA
e51,hisense,optimus hub e510,2011,10,2011.75,80,3.5,e51
hs-g610,huawei,g610s,2013,8,2013.583333,150,5,NA
d693ar,lg,g3 stylus,2014,10,2014.75,240,5.5,"also known as lg g3 stylus d690n, lg d690"
g628-tl00,huawei,ascend g628,2015,2,2015.083333,140,5,NA
s501,mediacom,s5019 wave,2017,2,2017.083333,NA,5,s501
aqua y2 pro,intex,aqua y2 remote,2015,2,2015.083333,NA,4,NA
honor classic p6,huawei,ascend p6 s,2014,1,2014,300,4.7,for china unicom
sgh-i437z,samsung,galaxy express i437,2012,11,2012.833333,160,4.5,for at&t
i858,i-mobile,i858,2010,NA,NA,NA,4.3,i858
linq l15,qmobile,linq l15,2015,7,2015.5,NA,5,linq l15
501o,htc,desire 501,2014,2,2014.083333,240,4.3,NA
pmt7787 3d,lg,optimus 3d p920,2011,7,2011.5,190,4.3,NA
at7-c,toshiba,excite go,2014,7,2014.5,80,7,at7-c
q371,micromax,canvas pep q371,2015,2,2015.083333,90,4.5,q371
gt-s5333,samsung,s5330 wave533,2010,10,2010.75,150,3.2,previously known as samsung wave 2 pro
mx max,xiaomi,mi max,2016,5,2016.333333,260,6.44,NA
vs890,lg,enact vs890,2013,8,2013.583333,260,4,vs890
adr6350,htc,droid incredible 2,2011,4,2011.25,100,4,NA
z988,zte,grand x max 2,2016,5,2016.333333,210,6,NA
kii-l05,huawei,honor 5x,2015,11,2015.833333,300,5.5,"also known as huawei honor x5, huawei gr5"
f-03d,samsung,galaxy s ii lte i9210,2011,11,2011.833333,200,4.5,NA
s828,htc,desire 828 dual sim,2015,11,2015.833333,250,5.5,NA
q1 pro,zte,blade q pro,2015,NA,NA,NA,4.5,"also known as zte blade gf3, zte t320"
s90-t,lenovo,s90 sisley,2014,11,2014.833333,260,5,also known as lenovo s90t sisley for china
s330,odyssee,k7,2016,2,2016.083333,110,5,s330
neo xl,blu,neo xl,2016,3,2016.166667,NA,6,neo xl
8.52,oplus,galaxy win i8550,2013,5,2013.333333,170,4.7,8.52
p100,aosd,galaxy tab cdma p100,2010,9,2010.666667,150,7,p100
z740,zte,skate acqua,2012,NA,NA,NA,4,NA
pad 6,asus,fonepad note fhd6,2013,11,2013.833333,350,6,also known as asus fonepad note 6 me560cg
le x528,leeco,le 2 pro,2016,4,2016.25,260,5.5,NA
shw-m180k,samsung,galaxy tab a 7.0 (2016),2016,3,2016.166667,130,7,versions: t280 (wi-fi only); t285 (4g/wi-fi)
p930,lg,nitro hd,2011,12,2011.916667,170,4.5,p930
maxi plus 5,zte,blade q maxi,2014,1,2014,NA,5,NA
sch-i925u,samsung,galaxy s6 edge (usa),2015,4,2015.25,600,5.1,"also known as samsung galaxy s6 edge g925
versions: g925p (sprint), g925r (us cellular), g925v (verizon), g925w8 (canada)"
mypad p4 lite,huawei,p8lite ale-l04,2015,5,2015.333333,230,5,NA
a208t,lenovo,a2010,2015,9,2015.666667,70,4.5,NA
t70,turkcell,noir lt700 pro,2016,7,2016.5,NA,5,t70
nova x70,qmobile,linq x70,2015,2,2015.083333,90,4,NA
sm-s120,samsung,galaxy j1 (2016),2016,1,2016,130,4.5,"versions: j120f (global); galaxy express 3 j120a (at&t); j120h, j120m, j120m, j120t
also known as samsung galaxy j1 (2016) duos with dual-sim card slots"
yp-gi,samsung,galaxy s wifi 5.0,2011,5,2011.333333,180,5,"tablet with no support for gsm voice communication, sms, and mms.
also known as samsung yp-g70cw"
b1-820,acer,iconia one 8 b1-820,2015,5,2015.333333,180,8,b1-820
sgh-t999n,samsung,w999,2012,NA,NA,220,3.5,NA
x002,asus,pegasus,2015,5,2015.333333,80,5,x002
xt1250,motorola,moto maxx,2014,11,2014.833333,700,5.2,also known as motorola moto turbo
yp-gs1,samsung,galaxy s wifi 5.0,2011,5,2011.333333,180,5,"tablet with no support for gsm voice communication, sms, and mms.
also known as samsung yp-g70cw"
z750c,zte,reef,2013,8,2013.583333,110,4,for virgin mobile
aqua super,intex,aqua ace,2015,10,2015.75,NA,5,NA
a65,lenovo,a65,2012,7,2012.5,90,3.5,a65
765,avvio,optimus l9 p760,2012,11,2012.833333,170,4.7,765
e612g,lg,optimus l5 e610,2012,6,2012.416667,120,4,also known as lg optimus l5 dual e612
m15,xiaomi,mi 5s plus,2016,10,2016.75,370,5.7,NA
slate s5,samsung,galaxy s5 (usa),2014,4,2014.25,480,5.1,versions: g900v (verizon); g900r4 (us cellular); g900p (sprint)
sch-i909,samsung,i909 galaxy s,2010,10,2010.75,200,4,for china
xt1050,motorola,moto x play dual sim,2015,8,2015.583333,320,5.5,NA
q426,micromax,canvas mega 2 q426,2016,8,2016.583333,100,6,q426
a16,karbonn,a1680,2010,NA,NA,NA,3.1,a16
d722v,lg,g3 s dual,2014,8,2014.583333,210,5,also known as lg g3 beat dual
q400,micromax,canvas blaze 4g q400,2015,10,2015.75,NA,4.5,q400
benefit m2,meizu,m2 note,2015,6,2015.416667,200,5.5,also known as meizu blue charm note2
opl4100,htc,desire 526,2015,8,2015.583333,110,4.7,NA
a7275,htc,desire z,2010,11,2010.833333,100,3.7,NA
gt-i5800,samsung,i5800 galaxy 3,2010,7,2010.5,140,3.2,NA
gladiator,lenovo,golden warrior a8,2014,8,2014.583333,150,5,"versions:
lenovo golden warrior a8 a808t for china mobile
lenovo golden warrior a8 a806 for emea region"
ls970,lg,optimus g ls970,2012,NA,NA,480,4.7,ls970
d390,lg,f60,2014,10,2014.75,100,4.5,d390
a708t,lenovo,vibe k4 note,2016,1,2016,190,5.5,"also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
a8w,micromax,a89 ninja,2013,2,2013.083333,90,3.97,NA
be pure,blu,life pure mini,2014,2,2014.083333,190,4.5,NA
mpdc110 bt ips,xolo,a500s ips,2013,10,2013.75,120,4,NA
vs840pp,lg,lucid 4g vs840,2012,4,2012.25,200,4,"for verizon
also known as  lg cayman, lg optimus exceed"
x710f,vivo,xshot,2014,NA,NA,NA,5.2,NA
noir i5i,qmobile,noir i5i,2014,5,2014.333333,80,4.5,noir i5i
infinity lite,myphone,padfone infinity lite,2014,3,2014.166667,510,5,infinity lite
bolt s300,micromax,bolt s300,2015,3,2015.166667,60,4,bolt s300
sm-g5309,samsung,galaxy grand prime duos tv,2014,10,2014.75,150,5,also known as samsung galaxy grand prime duos tv g530bt
elite 7q,vivo,xplay5 elite,2016,3,2016.166667,610,5.43,"also known as vivo xplay5 ultimate, vivo xplay5 5s"
p7 max,gionee,p7 max,2016,10,2016.75,190,5.5,p7 max
s19,q-smart,hero ii,2013,1,2013,50,3.5,s19
sgh-i917,samsung,focus,2010,11,2010.833333,90,4,"for at&t

previously rumored as samsung i917 cetus"
w032i-c3,sony,xperia c3 dual,2014,8,2014.583333,250,5.5,also known as sony xperia c3 dual d2502
gt-e3210,samsung,galaxy tab pro 8.4 3g/lte,2014,3,2014.166667,420,8.4,"versions:
samsung t325 with 3g/lte
samsung t321 with 3g only"
q505t,zte,blade vec 4g,2014,11,2014.833333,180,5,NA
5879,asus,memo pad hd7 8 gb,2013,7,2013.5,100,7,"tablet with no support for gsm voice communication, sms, and mms"
e471,micromax,canvas knight 2 e471,2015,6,2015.416667,230,5,e471
w832,philips,w832,2012,11,2012.833333,NA,4.5,w832
d722j,lg,g3 s dual,2014,8,2014.583333,210,5,also known as lg g3 beat dual
sch-i910,samsung,i900 omnia,2008,7,2008.5,160,3.2,also known as samsung witu
rm-1092,microsoft,lumia 535 dual sim,2014,12,2014.916667,80,5,NA
8056,lg,g5 se,2016,6,2016.416667,550,5.3,"versions: h840 (latam); h845 (russia)
also known as lg g5 lite"
iris 250,lava,iris 250,2014,8,2014.583333,NA,4,iris 250
aqua power,intex,aqua power +,2015,4,2015.25,NA,5,aqua power
sch-i200pp,samsung,galaxy s6,2015,4,2015.25,410,5.1,"curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
blade v,zte,blade v8,2017,2,2017.083333,NA,5.2,blade v
rm-977,nokia,lumia 630,2014,5,2014.333333,110,4.5,also known as nokia lumia 630 3g
sm-a5108,samsung,galaxy a5 (2017),2017,1,2017,430,5.2,also known as samsung galaxy a5 (2017) duos with dual-sim card slots
xt610,verizon,droid pro xt610,2010,11,2010.833333,110,3.1,xt610
sgh-i927,samsung,i927 captivate glide,2011,11,2011.833333,110,4,"for at&t
also known as samsung galaxy s glide, samsung i927 galaxy s ii, samsung gidim"
sch-i415,verizon,galaxy stratosphere ii i415,2012,11,2012.833333,170,4,sch-i415
d816,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,NA
bolt q324,micromax,bolt q324,2015,3,2015.166667,60,4,bolt q324
z850,zte,grand x2,2015,8,2015.583333,130,5,NA
x507,leeco,le 1s,2016,2,2016.083333,210,5.5,also known as leeco le 1s eco
sgh-i957r,samsung,galaxy tab 8.9 lte i957,2011,11,2011.833333,330,8.9,"tablet with support for gsm voice communication, sms, and mms
also known as galaxy tab 8.9 i957, samsung galaxy tab 8.9 at&t"
t5353,htc,touch diamond2,2009,4,2009.25,150,3.2,a.k.a. htc warhawk for at&t. htc topaz platform. 
a66,lenovo,a6600,2016,10,2016.75,110,5,a66
l-01d,lg,optimus lte su640,2012,8,2012.583333,120,4.5,for south korea
shw-m220l,samsung,galaxy pop shv-e220,2013,2,2013.083333,110,4.65,for south korea
blade q maxi,zte,blade q maxi,2014,1,2014,NA,5,blade q maxi
z832,zte,zmax pro,2016,7,2016.5,110,6,NA
xperia tablet,sony,xperia tablet s,2012,9,2012.666667,190,9.4,xperia tablet
d685,lg,g pro lite,2013,11,2013.833333,250,5.5,"also known as lg pro lite d680, d682tr"
sgh-s730m,samsung,galaxy grand prime,2014,10,2014.75,140,5,"versions: g530f, g530fz, g530y, g530h, g530fz/ds
also known as samsung galaxy grand prime duos with dual-sim card slots
available as samsung galaxy grand prime value edition with spreadtrum sc7730 chipset and android 5.0"
zielo z-500,acer,liquid z500,2014,NA,NA,150,5,NA
y15t,vivo,y15s,2015,8,2015.583333,NA,4.5,NA
a88,wellcom,a880,2014,1,2014,130,6,a88
blade a5,zte,blade a512,2016,7,2016.5,170,5.2,blade a5
x198,samsung,galaxy grand 2,2014,1,2014,180,5.25,"versions: samsung galaxy grand 2 g7105 (3g/lte)
also known as samsung galaxy grand 2 g7102 with dual-sim card slots
"
andy 4el2 lte,yezz,andy 4el2 lte,2015,9,2015.666667,NA,4,andy 4el2 lte
a67,lava,a67,2016,5,2016.333333,NA,5,a67
q385,micromax,canvas spark 3 q385,2016,7,2016.5,70,5,q385
c8825d,huawei,ascend g330d u8825d,2012,NA,NA,110,4,NA
ascend g740,orange,ascend g740,2013,11,2013.833333,250,5,ascend g740
blade q mini,zte,blade q mini,2014,1,2014,NA,4,blade q mini
up lite,huawei,p9 lite,2016,4,2016.25,280,5.2,"also known as huawei g9 lite, honor 8 smart (india)"
d693,lg,g3 stylus,2014,10,2014.75,240,5.5,"also known as lg g3 stylus d690n, lg d690"
isw11m,motorola,photon 4g mb855,2011,8,2011.583333,270,4.3,also known as motorola electrify
m670,lg,optimus s,2010,12,2010.916667,50,3.2,m670
aqua 4g,intex,aqua 4g+,2015,6,2015.416667,NA,5,aqua 4g
sm-g920r6,samsung,galaxy s6 (usa),2015,4,2015.25,500,5.1,"also known as samsung galaxy s6 g920curved screen version available - samsung galaxy s6 edge
versions: g920p (sprint), g920v (verizon), g920r (us cellular), g920w8 (canada)"
u9510e,huawei,ascend d quad xl,2012,9,2012.666667,260,4.5,NA
up hd,htc,desire hd,2010,10,2010.75,150,4.3,previously rumored as htc ace
793,samsung,i9500 galaxy s4,2013,4,2013.25,320,5,NA
d271,blu,dash 4.0,2013,9,2013.666667,90,4,d271
gt-i9108,samsung,z,2014,NA,NA,NA,4.8,also known as samsung z z910f
aero a1-110,acer,iconia tab a110,2012,10,2012.75,150,7,"tablet with no support for gsm voice communication, sms, and mms"
t1-a22l,huawei,mediapad t1 10,2015,3,2015.166667,180,9.6,NA
noir i5 3g,qmobile,noir i5i,2014,5,2014.333333,80,4.5,NA
venue 7 3741,dell,venue 7 8 gb,2013,10,2013.75,NA,7,"this is not a gsm device, it will not work on any gsm network worldwide."
s1+,karbonn,cool s1,2017,1,2017,420,5.5,s1+
eluga switch,panasonic,eluga switch,2015,10,2015.75,270,5.5,eluga switch
l930,nokia,lumia 930,2014,7,2014.5,370,5,NA
smart multimedia,motorola,droid x2,2011,5,2011.333333,230,4.3,"this is not a gsm device, it will not work on any gsm network worldwide."
